objectID,title,description,category,type,anchor,url
admin-fulfillmentRequestCancel,fulfillmentRequestCancel,Cancel Requested Fulfillment Order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestCancel,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestCancel
admin-fulfillmentRequestReject,fulfillmentRequestReject,Rejects a fulfillment request sent to a fulfillment service for a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestReject,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentRequestReject
admin-fulfillmentsRetrieve,fulfillmentsRetrieve,Retrieve Fulfillments for a Fulfillment Order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentsRetrieve
admin-fulfillmentsCreate,fulfillmentsCreate,Create Fulfillments for a Fulfillment Order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentsCreate
admin-fulfillmentOrdersHold,fulfillmentOrdersHold,Hold Fulfillment.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersHold,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersHold
admin-fulfillmentOrdersMove,fulfillmentOrdersMove,Move location of a fulfillment order.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersMove,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersMove
admin-fulfillmentOrdersReleaseHold,fulfillmentOrdersReleaseHold,Release On Hold Fulfillment.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersReleaseHold,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/fulfillmentOrdersReleaseHold
admin-gatewayGroupsList,gatewayGroupsList,Retrieve a list of gatway groups.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewayGroupsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewayGroupsList
admin-gatewayGroupsRetrieve,gatewayGroupsRetrieve,Retrieve a gatway group.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewayGroupsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewayGroupsRetrieve
admin-gatewaysList,gatewaysList,Retrieve a list of gateways.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewaysList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewaysList
admin-gatewaysRetrieve,gatewaysRetrieve,Retrieve a gateway.,Admin API,payments,/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewaysRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/gatewaysRetrieve
admin-giftCardsList,giftCardsList,Retrieve a list of gift cards.,Admin API,gift-cards,/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsList
admin-giftCardsCreate,giftCardsCreate,Create a gift card.,Admin API,gift-cards,/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsCreate
admin-giftCardsRetrieve,giftCardsRetrieve,Retrieve a gift card.,Admin API,gift-cards,/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsRetrieve
